total_sales,genre,release_date
20.32,Action,2013-09-17
19.39,Action,2014-11-18
16.15,Action,2002-10-28
15.86,Action,2013-09-17
15.09,Shooter,2015-11-06
14.82,Shooter,2011-11-08
14.74,Shooter,2010-11-09
13.94,Action-Adventure,2018-10-26
13.86,Shooter,2012-11-13
13.8,Shooter,2012-11-13
13.53,Shooter,2009-11-10
13.4,Shooter,2017-11-03
13.35,Shooter,2011-11-08
13.1,Action,2001-10-23
12.67,Shooter,2010-11-09
11.8,Sports,2017-09-29
11.09,Action,2008-04-29
10.94,Sports,2016-09-27
10.61,Shooter,2009-11-10
10.57,Action,2008-04-29
10.41,Shooter,2013-11-05
10.13,Shooter,2013-11-05
9.97,Shooter,2010-09-14
9.96,Shooter,2012-11-06
9.41,Shooter,2007-11-05
9.32,Shooter,2018-10-12
9.15,Sports,2018-09-28
8.88,Role-Playing,2011-11-11
8.72,Action,2014-11-18
8.48,Shooter,2016-11-04
8.48,Role-Playing,2015-11-10
8.22,Sports,2015-09-22
8.03,Shooter,2015-11-17
8.01,Sports,2012-09-25
7.96,Simulation,2009-06-02
7.72,Action,2005-10-25
7.53,Shooter,2014-11-04
7.5,Shooter,2008-11-10
7.37,Shooter,2015-11-06
7.35,Shooter,2011-10-25
7.26,Shooter,2016-10-21
7.21,Shooter,2011-10-25
7.2,Racing,2003-11-17
6.9,Racing,2004-11-15
6.89,Music,2012-10-09
6.83,Shooter,2002-05-28
6.74,Action,2009-10-13
6.72,Shooter,2007-11-05
6.65,Sports,2011-09-27
6.61,Sports,2013-09-24
6.57,Action,2011-10-11
6.5,Action,2010-05-18
6.5,Action-Adventure,2012-10-30
6.49,Role-Playing,2011-11-11
6.33,Misc,2014-10-07
6.32,Sports,2014-09-23
6.27,Action,1999-06-30
6.23,Shooter,2017-11-03
6.05,Misc,2014-05-16
5.77,Action-Adventure,2018-10-26
5.76,Shooter,2014-09-09
5.74,Fighting,1996-08-25
5.66,Action,2007-11-06
5.66,Simulation,2006-09-12
5.57,Action,2009-11-17
5.55,Action,2007-11-13
5.54,Action,2011-10-18
5.5,Racing,2009-10-27
5.43,Shooter,2008-11-10
5.43,Misc,2014-11-18
5.42,Platform,2001-10-29
5.35,Role-Playing,2010-03-09
5.31,Action-Adventure,2012-10-30
5.3,Action,2009-11-17
5.24,Adventure,1997-10-31
5.23,Sports,2003-08-12
5.22,Shooter,2014-11-04
5.13,Shooter,2003-11-11
5.13,Shooter,2016-10-21
5.12,Simulation,1996-10-31
5.12,Misc,2006-11-07
5.11,Sports,2012-09-25
5.1,Sports,2008-01-22
5.1,Role-Playing,2010-10-26
5.1,Action,2009-03-13
5.08,Sports,2010-09-28
5.08,Action,2006-10-31
5.07,Role-Playing,2016-11-29
5.03,Role-Playing,2015-11-10
5.02,Sports,1999-08-31
5.01,Strategy,1999-05-31
4.98,Misc,2007-10-28
4.97,Action,2007-11-16
4.96,Role-Playing,2008-10-28
4.91,Sports,2005-08-08
4.85,Shooter,2018-10-12
4.83,Action,2007-11-13
4.83,Platform,2017-06-30
4.79,Shooter,2016-11-04
4.79,Racing,1999-09-30
4.77,Action,2007-11-06
4.75,Action,2011-10-18
4.73,Action,2000-11-13
4.7,Racing,2003-09-16
4.68,Sports,2000-09-20
4.67,Action,2002-10-21
4.63,Action,1996-11-14
4.6,Racing,2011-10-11
4.6,Misc,2007-10-28
4.56,Sports,2014-09-23
4.54,Sports,2009-10-13
4.54,Shooter,2016-05-24
4.53,Misc,2007-10-28
4.53,Shooter,2017-11-17
4.53,Sports,2004-08-09
4.48,Action,2002-04-15
4.47,Role-Playing,2009-07-07
4.41,Sports,2001-10-28
4.39,Sports,2007-02-06
4.37,Shooter,2016-03-08
4.37,Racing,2005-11-15
4.37,Misc,2010-11-23
4.36,Shooter,2015-12-01
4.34,Shooter,2014-11-04
4.32,Action-Adventure,2014-05-27
4.28,Action,2009-08-25
4.27,Shooter,2014-11-04
4.24,Misc,2001-06-10
4.23,Action,2011-11-15
4.22,Action,2011-11-15
4.21,Sports,2005-10-04
4.19,Fighting,2009-02-17
4.18,Sports,2011-09-27
4.17,Shooter,2013-11-15
4.17,Platform,1989-06-01
4.16,Action,1997-09-30
4.15,Sports,2013-09-24
4.15,Shooter,2015-11-17
4.14,Sports,2002-08-12
4.14,Action,2014-11-11
4.14,Shooter,2017-09-06
4.11,Sports,2006-10-03
4.11,Action,2015-06-23
4.1,Simulation,2014-09-02
4.08,Role-Playing,2010-10-19
4.06,Misc,2007-08-28
4.06,Shooter,2014-11-18
4.06,Action,2017-10-27
4.06,Sports,2006-02-07
4.05,Racing,2007-05-29
4.05,Misc,1997-01-31
4.05,Fighting,2000-10-25
4,Role-Playing,2008-10-28
3.99,Role-Playing,2011-11-11
3.98,Sports,2015-09-29
3.98,Misc,2005-08-30
3.95,Action,2018-03-27
3.94,Shooter,2013-11-15
3.94,Action-Adventure,2013-10-29
3.9,Sports,2003-10-27
3.89,Music,2013-10-08
3.88,Sports,2010-09-17
3.85,Sports,2005-02-01
3.84,Misc,1996-07-31
3.76,Adventure,2008-06-03
3.76,Simulation,2002-09-23
3.75,Platform,2007-02-13
3.71,Sports,2016-09-27
3.7,Sports,2004-10-12
3.67,Sports,2002-10-23
3.66,Simulation,2007-09-18
3.66,Racing,2005-06-27
3.65,Shooter,2002-08-27
3.64,Shooter,2013-10-29
3.64,Platform,2001-12-04
3.63,Sports,2008-03-11
3.63,Sports,2009-10-20
3.62,Misc,2008-10-26
3.61,Racing,2001-11-24
